tavg,tmin,tmax,prcp,snow,wspd,pres
7.6,0.6,14.4,0.19291044776119404,0.0,6.7,1.00478661173
11.7,8.3,15.6,0.19291044776119404,0.0,10.0,1.0044795411639997
10.5,5.6,16.7,0.19291044776119404,0.0,4.6,1.00903038192
9.9,2.8,17.2,0.0,0.0,4.4,1.01090553619
12.0,6.1,17.8,0.19291044776119404,0.0,2.8,1.00843822794
12.7,10.6,15.6,0.19291044776119404,0.0,4.9,1.0044795411639997
10.2,7.2,13.9,0.19291044776119404,0.0,11.3,1.0044795411639997
11.6,6.7,16.7,0.3,0.0,5.8,1.0044795411639997
11.6,7.0,17.8,0.0,0.0,4.0,1.0044795411639997
9.8,4.4,16.1,1.7,0.0,5.2,1.0044795411639997
9.9,5.0,16.1,0.0,0.0,4.9,1.0044795411639997
10.1,4.4,16.7,0.0,0.0,2.9,1.00715522765
7.6,0.6,14.4,0.19291044776119404,0.0,6.7,1.00478661173
12.6,8.9,17.8,0.19291044776119404,0.0,5.1,1.0097212282299999
12.5,11.7,13.9,0.19291044776119404,0.0,6.6,1.0044795411639997
11.6,6.1,15.6,0.19291044776119404,0.0,10.0,1.00774738163
7.5,2.0,12.8,0.19291044776119404,0.0,7.0,1.0044795411639997
9.4,5.6,11.1,0.19291044776119404,0.0,14.3,1.0044795411639997
7.5,5.6,9.0,0.19291044776119404,0.0,14.4,1.0044795411639997
10.0,5.6,13.3,0.19291044776119404,0.0,15.4,1.0044795411639997
7.8,2.8,14.4,0.0,0.0,6.3,0.9954108403799999
8.3,4.0,12.8,0.19291044776119404,0.0,9.4,1.0044795411639997
10.3,8.3,13.9,0.19291044776119404,0.0,17.3,1.0044795411639997
8.8,6.7,11.1,0.19291044776119404,0.0,15.9,1.0044795411639997
9.6,6.1,12.8,0.19291044776119404,0.0,9.6,0.9991611489199999
10.2,8.0,12.2,0.19291044776119404,0.0,12.9,1.0044795411639997
9.1,6.1,11.7,0.19291044776119404,0.0,6.5,1.0044795411639997
10.6,3.0,17.8,0.0,0.0,6.5,1.0044795411639997
13.5,5.6,22.2,0.0,0.0,8.4,1.0086356125999998
18.3,7.8,29.4,0.0,0.0,7.5,1.0089316895899998
18.4,10.0,28.9,0.0,0.0,6.1,1.0040957654199998
17.3,11.1,27.8,0.0,0.0,4.7,0.9962990713499998
15.1,10.0,22.8,0.0,0.0,11.6,0.9964964560099999
12.3,5.0,20.6,0.0,0.0,9.8,1.0039970730899999
14.5,6.1,26.1,0.0,0.0,3.9,1.00537876571
14.0,7.2,22.8,0.0,0.0,7.9,1.00143107251
12.1,4.4,18.3,0.0,0.0,18.4,1.0027140728
9.4,4.4,13.9,0.2288235294117647,0.0,16.2,0.9980755332899999
8.8,2.8,15.0,0.2288235294117647,0.0,6.2,0.99550953271
10.1,2.2,18.9,0.0,0.0,4.6,1.0006415338699999
10.0,3.3,17.2,0.0,0.0,7.3,1.01080684386
11.1,5.6,17.8,0.0,0.0,5.8,1.0030617595405504
9.7,3.0,18.3,0.0,0.0,6.6,1.0030617595405504
10.1,6.1,16.1,0.2288235294117647,0.0,8.8,1.00784607396
10.0,3.3,16.1,0.0,0.0,3.8,1.0139649984199999
13.7,9.4,20.0,0.0,0.0,4.1,1.01100422852
15.9,8.9,25.6,0.0,0.0,5.7,1.0048853040599999
15.0,11.1,22.2,0.0,0.0,9.6,1.00083891853
13.4,11.1,16.1,0.2288235294117647,0.0,7.9,1.0006415338699999
14.0,9.4,20.0,0.0,0.0,8.7,1.00113499552
12.5,10.6,15.0,0.2288235294117647,0.0,10.9,1.0030617595405504
12.8,6.7,18.9,0.5,0.0,7.4,1.00320753445
10.2,5.0,17.2,0.0,0.0,5.1,1.0030617595405504
12.0,8.9,16.1,0.2288235294117647,0.0,3.7,1.0030617595405504
14.8,11.7,20.0,0.2288235294117647,0.0,11.6,1.00143107251
14.4,9.4,19.4,0.2288235294117647,0.0,11.6,1.00587222736
12.7,5.0,20.0,0.0,0.0,8.5,1.0076486892999998
12.8,5.6,20.6,0.0,0.0,7.2,1.00626699668
11.5,5.0,19.4,0.0,0.0,11.1,1.00715522765
12.9,6.7,20.6,0.0,0.0,18.2,1.0097212282299999
16.4,8.9,25.0,0.0,0.0,13.4,1.00784607396
16.3,5.0,26.7,0.0,0.0,9.9,1.0070565353199998
14.4,5.0,23.9,0.0,0.0,6.5,1.0005310727893515
15.4,6.1,26.1,0.19738903394255874,0.0,4.6,1.0067604583299998
18.8,6.7,31.1,0.0,0.0,6.4,1.00241799581
19.6,7.2,30.0,0.0,0.0,6.6,1.0009376108599999
15.8,8.9,23.9,0.0,0.0,9.7,0.9991611489199999
13.7,7.2,22.2,0.19738903394255874,0.0,9.2,1.0005310727893515
14.2,10.6,18.9,0.0,0.0,15.9,0.9978781486299999
14.2,3.9,22.2,0.0,0.0,7.1,0.9989637642599999
14.4,5.6,24.4,0.0,0.0,11.1,0.99945722591
13.0,8.9,18.9,0.0,0.0,7.9,1.0005310727893515
