tavg,tmin,tmax,prcp,snow,wspd,pres
7.9,3.9,11.1,0.6408906882591093,0.0,11.1,0.9954108403799999
4.0,1.7,7.8,0.6408906882591093,0.0,6.0,0.9986676872699999
4.3,2.8,7.2,0.6408906882591093,0.0,2.2,1.0028127651299998
5.2,1.7,12.8,0.0,0.0,2.5,1.0116950748299998
6.3,-1.1,16.7,0.0,0.0,2.1,1.0045235706988842
8.9,0.6,20.6,0.0,0.0,2.8,1.0061683043499998
10.9,6.1,19.4,0.6408906882591093,0.0,9.0,1.0025166881399998
10.7,7.8,16.1,0.6408906882591093,0.0,1.9,1.0055761503699998
10.8,5.0,17.2,0.3,0.0,0.8,1.00291145746
12.2,7.8,18.9,0.0,0.0,2.0,1.00044414921
7.9,3.9,11.1,0.6408906882591093,0.0,11.1,0.9954108403799999
12.5,6.7,19.4,7.0,0.0,9.9,1.00143107251
12.2,8.9,14.4,0.6408906882591093,0.0,12.4,0.9977794562999999
8.6,4.4,12.8,0.6408906882591093,0.0,5.4,1.00113499552
5.6,2.2,10.6,0.6408906882591093,0.0,5.4,1.0003454568799999
6.4,5.0,8.9,0.6408906882591093,0.0,4.8,0.9980755332899999
7.3,3.9,12.8,0.6408906882591093,0.0,4.3,1.00231930348
7.2,1.7,13.9,0.0,0.0,4.0,1.00784607396
9.7,2.8,17.8,0.0,0.0,3.9,1.0057735350299999
10.6,8.3,14.4,0.6408906882591093,0.0,4.5,1.00044414921
12.4,10.0,15.0,0.6408906882591093,0.0,10.3,0.99491737873
10.7,4.4,14.4,0.6408906882591093,0.0,13.7,0.99689122533
6.6,2.8,11.1,0.6408906882591093,0.0,6.9,1.00715522765
5.6,2.2,10.6,0.6408906882591093,0.0,5.2,1.00419445775
7.1,3.3,12.2,0.6408906882591093,0.0,5.906639004149378,1.00715522765
8.7,1.1,17.8,0.0,0.0,4.4,1.01051076687
12.6,3.9,23.9,0.0,0.0,5.906639004149378,1.01051076687
16.3,6.7,28.3,0.0,0.0,2.8,1.00725391998
17.6,7.8,28.9,0.0,0.0,3.0,1.0051813810499999
17.0,8.3,28.9,0.0,0.0,2.2,1.0045892270699999
15.9,7.2,26.7,0.0,0.0,3.9,1.00301014979
15.3,6.1,23.9,0.0,0.0,9.4,1.00024676455
14.7,8.3,21.7,0.0,0.0,7.9,0.9992598412499999
14.0,5.0,25.0,0.0,0.0,3.6,1.0012336878499999
15.0,8.9,22.2,0.3674418604651163,0.0,4.9,1.00320753445
11.8,10.0,14.4,0.3674418604651163,0.0,2.5,1.00419445775
13.6,11.7,15.0,60.5,0.0,12.8,1.0034359544338993
14.1,10.0,16.7,0.3674418604651163,0.0,7.6,1.0003454568799999
12.9,9.4,18.3,0.3674418604651163,0.0,6.1,1.0082408432799999
