tavg,tmin,tmax,prcp,snow,wspd,pres
9.6,5.6,12.8,0.1447019867549669,0.0,5.0,1.0037009960999999
11.9,10.0,12.8,0.1447019867549669,0.0,12.8,0.99689122533
12.4,10.6,14.4,0.1447019867549669,0.0,11.2,1.0040125355246807
11.4,8.9,14.4,0.1447019867549669,0.0,8.5,1.0045892270699999
11.8,10.0,13.3,0.1447019867549669,0.0,12.8,0.99689122533
12.9,11.1,14.4,0.1447019867549669,0.0,19.3,1.0040125355246807
10.7,8.3,13.3,0.1447019867549669,0.0,16.4,1.0012336878499999
8.6,4.4,12.8,0.0,0.0,17.4,1.0025166881399998
9.0,5.0,12.8,0.1447019867549669,0.0,14.7,0.9995559182399999
9.6,5.6,12.8,0.1447019867549669,0.0,5.0,1.0037009960999999
9.3,2.2,17.8,0.0,0.0,6.8,1.0028127651299998
9.9,3.3,17.2,0.0,0.0,16.3,1.0040125355246807
10.3,3.9,17.8,0.0,0.0,14.0,1.0074513046399998
11.3,3.9,20.0,0.0,0.0,10.4,1.00981992056
10.7,2.8,19.4,0.0,0.0,7.0,1.0086356125999998
11.6,3.9,20.6,0.0,0.0,6.4,1.00626699668
13.0,4.4,22.2,0.0,0.0,9.0,1.0042931500799999
14.3,6.7,23.9,0.0,0.0,10.8,1.00054284154
13.5,7.8,20.0,0.0,0.0,9.2,1.0040125355246807
12.5,8.9,16.1,0.1447019867549669,0.0,17.3,1.0040125355246807
10.2,4.4,16.7,0.0,0.0,10.8,1.0052800733799998
10.4,4.4,13.3,0.1447019867549669,0.0,8.7,1.0040125355246807
12.6,8.9,16.1,0.1447019867549669,0.0,14.0,1.0040125355246807
11.0,5.0,16.7,0.0,0.0,8.1,1.00814215095
12.0,8.9,15.6,0.1447019867549669,0.0,10.2,1.0040125355246807
12.2,8.3,17.2,0.1447019867549669,0.0,7.1,1.00212191882
13.5,10.0,17.2,0.1447019867549669,0.0,18.0,0.9999506875599999
11.0,6.7,15.6,0.1447019867549669,0.0,10.5,1.0040125355246807
10.5,5.6,17.2,0.0,0.0,10.4,1.01228722881
11.6,3.9,20.0,0.0,0.0,7.6,1.0040125355246807
13.3,5.0,21.7,0.0,0.0,6.0,1.0061683043499998
13.3,8.9,16.7,0.14233983286908078,0.0,6.6,1.0012336878499999
13.0,9.4,15.6,0.14233983286908078,0.0,12.82891156462585,1.0026886038116127
13.5,11.1,16.7,0.14233983286908078,0.0,6.9,1.00241799581
13.7,12.2,16.7,0.14233983286908078,0.0,11.6,1.0026886038116127
13.8,11.7,16.1,0.14233983286908078,0.0,13.3,1.0016284571699998
14.4,11.1,17.8,0.14233983286908078,0.0,10.8,1.0026886038116127
16.5,14.4,20.6,0.0,0.0,13.2,1.0100173052199999
15.9,12.8,20.6,0.14233983286908078,0.0,13.2,1.0026886038116127
14.5,10.6,20.0,0.0,0.0,12.82891156462585,1.0026886038116127
13.6,5.6,21.7,0.0,0.0,12.0,1.0106094592
13.0,8.9,18.3,0.0,0.0,15.1,1.0056748427
14.0,5.6,23.3,0.0,0.0,8.9,0.9995559182399999
