tavg,tmin,tmax,prcp,snow,wspd,pres
4.2,1.1,8.9,2.2,0.0,13.3,1.0039970730899999
5.9,3.9,8.9,0.12314814814814816,0.0,11.1,1.0041596645217965
6.0,1.7,11.1,0.12314814814814816,0.0,9.5,1.0041596645217965
4.8,2.8,8.9,2.2,0.0,9.7,0.9962990713499998
3.6,-1.1,6.1,0.12314814814814816,0.0,23.8,1.0041596645217965
0.3,-3.3,4.4,0.0,0.0,14.3,1.0073526123099998
2.1,-2.2,9.4,0.12314814814814816,0.0,24.7,1.0001480722199998
4.2,1.1,8.9,2.2,0.0,13.3,1.0039970730899999
-0.7,-3.9,2.8,0.12314814814814816,0.0,10.5,1.00143107251
-4.8,-8.3,-1.7,0.0,0.0,21.0,1.0133728444399999
-4.2,-8.9,1.7,0.0,0.0,11.5,1.01919569191
-2.2,-9.4,5.0,0.0,0.0,6.3,1.02037999987
0.0,-6.1,6.7,0.0,0.0,5.6,1.00981992056
3.8,-0.6,8.3,0.0,0.0,13.6,0.9931409167899998
6.3,2.2,13.9,0.12314814814814816,0.0,22.9,1.0041596645217965
5.4,0.6,11.1,0.0,0.0,15.8,0.9992598412499999
5.2,-0.6,10.6,0.0,0.0,13.0,1.0094251512399999
5.7,0.0,12.2,0.0,0.0,5.8,1.0130767674499999
7.2,1.1,14.4,0.0,0.0,8.1,1.0041596645217965
8.4,-1.1,17.2,0.0,0.0,13.5,1.0041596645217965
7.1,0.6,11.7,0.12314814814814816,0.0,5.0,1.0041596645217965
7.4,3.9,12.8,1.5,0.0,10.3,1.0041596645217965
6.0,0.6,10.6,0.0,0.0,13.9,1.00991861289
6.7,1.7,11.7,0.12314814814814816,0.0,15.5,1.0041596645217965
6.5,1.1,11.7,0.0,0.0,17.9,1.0041596645217965
5.2,-0.6,10.0,0.0,0.0,12.6,1.0041596645217965
7.8,1.1,16.1,0.0,0.0,17.0,1.0041596645217965
4.5,2.8,7.2,0.12314814814814816,0.0,13.8,1.0041596645217965
6.1,1.7,11.7,0.6,0.0,24.5,0.99827291795
5.5,-2.2,12.2,0.0,0.0,12.6,1.00833953561
7.8,3.3,13.9,0.0,0.0,26.8,1.0041596645217965
1.2,-0.6,3.9,0.13268156424581007,0.0,14.3,1.0024461521512056
6.1,1.7,12.8,0.3,0.0,11.1,1.0024461521512056
7.4,2.2,13.3,0.0,0.0,7.3,1.0024461521512056
