tavg,tmin,tmax,prcp,snow,wspd,pres
7.5,0.6,13.3,0.1447019867549669,0.0,10.1,1.00508268872
11.0,8.3,14.0,0.1447019867549669,0.0,14.9,1.0040125355246807
11.6,6.7,17.2,0.1447019867549669,0.0,8.5,1.0040125355246807
9.8,2.2,16.7,0.0,0.0,5.1,1.01080684386
11.6,4.4,18.3,0.1447019867549669,0.0,3.3,1.0082408432799999
12.8,11.1,14.4,0.1447019867549669,0.0,8.6,1.0040125355246807
10.5,8.3,13.9,0.0,0.0,21.1,1.00301014979
11.7,8.3,16.7,0.0,0.0,10.2,1.0094251512399999
11.3,7.8,16.7,0.0,0.0,4.8,1.0103133822099999
10.5,4.4,15.0,0.1447019867549669,0.0,12.0,1.0079447662899998
9.6,4.4,15.6,0.0,0.0,11.0,1.0040125355246807
10.1,3.9,16.7,0.0,0.0,9.3,1.0070565353199998
7.5,0.6,13.3,0.1447019867549669,0.0,10.1,1.00508268872
13.4,11.0,16.1,0.1447019867549669,0.0,10.8,1.0040125355246807
13.0,11.7,14.4,0.1447019867549669,0.0,14.4,1.0040125355246807
12.0,6.1,15.0,0.1447019867549669,0.0,14.9,1.0076486892999998
8.5,1.7,15.0,0.1447019867549669,0.0,8.9,1.00873430493
9.7,7.2,11.7,0.1447019867549669,0.0,19.7,1.0040125355246807
8.5,6.1,10.0,0.1447019867549669,0.0,20.9,1.0040125355246807
10.1,7.2,12.2,0.1447019867549669,0.0,17.1,0.9853442227199999
8.4,3.3,13.9,0.1447019867549669,0.0,12.7,0.99550953271
8.9,3.9,13.9,0.1447019867549669,0.0,6.0,1.0027140728
10.6,8.9,13.3,0.1447019867549669,0.0,21.3,0.9951147633899998
8.9,8.3,9.4,0.1447019867549669,0.0,21.8,0.9936343784399998
10.5,7.8,13.3,0.1447019867549669,0.0,19.1,0.9997533028999999
10.3,7.8,12.8,0.1447019867549669,0.0,18.2,0.9978781486299999
8.8,3.9,13.3,0.1447019867549669,0.0,13.5,1.0026153804699998
9.9,2.8,16.7,0.0,0.0,7.9,1.00587222736
11.4,5.0,20.0,0.0,0.0,5.9,1.0085369202699999
16.7,7.8,27.8,0.0,0.0,6.1,1.00843822794
17.1,8.3,26.1,0.0,0.0,3.8,1.00419445775
17.8,10.0,27.2,0.0,0.0,9.0,0.9961016866899999
14.8,11.7,19.4,0.0,0.0,11.5,0.9962990713499998
11.4,3.9,18.9,0.0,0.0,9.4,1.00360230377
13.8,5.0,22.8,0.0,0.0,5.6,1.0052800733799998
13.0,7.8,19.4,0.0,0.0,7.2,1.0012336878499999
11.1,4.4,18.3,0.0,0.0,17.5,1.00212191882
8.9,4.4,13.3,0.14233983286908078,0.0,18.2,1.0026886038116127
7.5,1.1,13.9,0.14233983286908078,0.0,8.1,0.9954108403799999
8.6,-1.1,17.2,0.0,0.0,11.3,1.0009376108599999
10.0,3.3,17.2,0.0,0.0,12.7,1.01080684386
11.3,6.1,17.2,0.0,0.0,14.0,1.0103133822099999
8.9,2.2,16.1,0.0,0.0,10.8,1.00478661173
9.7,6.1,15.0,0.14233983286908078,0.0,17.7,1.0080434586199998
12.783084577114428,6.5665008291873965,19.49402985074627,0.0,0.0,9.2,1.01386630609
13.5,8.9,20.0,0.0,0.0,10.2,1.0107081515299998
14.3,8.9,21.1,0.0,0.0,12.0,1.0045892270699999
14.3,11.7,20.0,0.0,0.0,17.1,1.00083891853
13.1,11.1,15.0,0.14233983286908078,0.0,14.5,1.0006415338699999
14.8,11.7,18.9,0.0,0.0,10.5,1.0010363031899998
12.9,10.6,15.6,0.0,0.0,12.82891156462585,1.0006415338699999
12.5,7.8,18.3,1.1,0.0,16.2,1.0031088421199998
10.1,3.3,16.1,0.0,0.0,10.3,1.0026886038116127
12.3,9.4,16.1,0.14233983286908078,0.0,13.7,0.9996546105699998
14.0,11.7,18.3,0.14233983286908078,0.0,22.4,1.0026886038116127
13.3,10.0,17.8,0.14233983286908078,0.0,21.7,1.0061683043499998
11.4,5.0,18.3,0.0,0.0,10.9,1.00754999697
11.8,4.4,18.9,0.0,0.0,12.1,1.0064643813399998
12.0,7.2,17.8,0.0,0.0,21.5,1.0067604583299998
12.2,0.6,20.6,0.0,0.0,17.2,1.0089316895899998
16.4,8.9,24.4,0.0,0.0,22.5,1.00685915066
14.4,2.8,25.0,0.0,0.0,10.0,1.00685915066
13.5,4.4,21.1,0.0,0.0,9.4,1.00903038192
14.2,5.6,23.3,0.0,0.0,9.7,1.0067604583299998
17.9,6.7,28.9,0.0,0.0,9.6,1.00231930348
17.5,7.2,27.2,0.0,0.0,7.8,1.0009376108599999
14.4,8.3,20.6,0.0,0.0,15.8,0.9993585335799999
13.3,8.9,20.0,0.0,0.0,21.7,0.9987663795999999
12.7,9.4,17.8,0.0,0.0,22.0,0.9980755332899999
12.6,3.9,20.6,0.0,0.0,10.7,0.99886507193
12.6,2.8,20.6,0.0,0.0,12.3,0.9995559182399999
12.6,9.4,17.8,0.0,0.0,16.2,1.00182584183
14.1,6.0,22.8,0.0,0.0,14.576290322580643,1.0006384919831162
12.2,4.4,21.7,0.0,0.0,13.6,1.0010363031899998
11.3,8.3,13.9,0.03301435406698564,0.0,21.1,0.9976807639699998
10.6,7.2,15.6,0.03301435406698564,0.0,19.6,0.9991611489199999
10.4,7.8,13.3,0.03301435406698564,0.0,10.8,1.0006384919831162
11.6,10.0,15.0,0.03301435406698564,0.0,21.4,0.9947199940699999
13.2,8.3,18.3,0.03301435406698564,0.0,10.0,0.9962003790199999
13.7,5.6,22.2,0.0,0.0,9.7,1.0006384919831162
14.0,11.1,18.9,0.0,0.0,14.576290322580643,1.0027140728
14.7,9.4,20.6,0.0,0.0,14.7,1.00024676455
13.5,5.6,20.6,0.0,0.0,16.5,0.9987663795999999
13.7,9.4,20.6,0.0,0.0,17.7,1.0007402261999998
12.4,3.3,20.0,0.0,0.0,15.5,1.00389838076
12.2,8.3,17.2,3.4,0.0,16.2,1.0006384919831162
13.1,6.7,19.4,0.0,0.0,15.5,1.00636568901
14.1,9.4,20.0,0.3,0.0,15.7,1.0006384919831162
11.9,8.3,18.3,0.03301435406698564,0.0,17.7,0.9990624565899998
12.8,5.0,21.1,0.0,0.0,12.5,0.9973846869799999
12.7,8.3,17.2,0.0,0.0,16.9,1.0020232264899998
12.8,10.6,15.6,0.03301435406698564,0.0,17.4,1.00212191882
11.1,5.0,16.7,0.012387387387387387,0.0,12.0,0.9989499304633161
12.8,8.9,16.1,0.0,0.0,11.6,1.006661766
11.7,6.1,15.6,0.012387387387387387,0.0,3.5,0.9992598412499999
14.3,8.9,21.1,0.0,0.0,12.0,1.0045892270699999
14.4,11.7,18.3,0.012387387387387387,0.0,9.1,0.9989499304633161
13.7,11.7,15.6,0.0,0.0,15.6,1.0026153804699998
14.8,8.9,21.1,0.0,0.0,10.0,1.0017271495
14.8,11.1,19.4,0.0,0.0,16.8,1.0006415338699999
15.3,12.2,21.7,0.0,0.0,15.833221476510065,1.0017271495
15.7,11.0,22.2,0.0,0.0,18.6,0.9989499304633161
14.4,8.9,21.7,0.0,0.0,19.0,0.99748337931
14.8,9.4,21.1,0.0,0.0,12.6,0.9975820716399999
17.0,10.6,23.9,0.0,0.0,13.8,1.00054284154
18.9,12.8,27.2,0.0,0.0,10.8,1.00113499552
19.7,12.2,28.3,0.0,0.0,15.833221476510065,0.9962990713499998
16.6,10.0,22.2,0.0,0.0,14.1,0.99353568611
14.7,11.7,18.9,0.0,0.0,15.833221476510065,0.9954108403799999
15.2,10.6,20.0,0.0,0.0,17.4,0.99748337931
20.0,13.3,30.0,0.0,0.0,11.2,0.9951147633899998
22.8,12.8,33.9,0.0,0.0,8.5,0.9989499304633161
22.3,12.8,33.3,0.0,0.0,9.0,0.9941278400899999
17.4,12.8,23.9,0.0,0.0,16.1,0.9957069173699998
17.0,12.8,22.8,0.0,0.0,22.3,0.9971873023199999
16.1,11.7,22.2,0.0,0.0,18.0,0.9970886099899998
15.1,11.7,20.0,0.0,0.0,22.1,0.99689122533
16.5,11.1,23.3,0.0,0.0,14.9,0.9973846869799999
15.7,12.2,21.7,0.0,0.0,23.1,0.9962003790199999
13.6,11.7,15.6,0.012387387387387387,0.0,14.9,0.9989499304633161
15.3,11.7,20.6,0.0,0.0,15.5,0.99945722591
17.3,9.4,24.4,0.0,0.0,8.4,1.00113499552
20.9,11.7,31.1,0.0,0.0,8.7,0.99689122533
20.2,12.2,28.3,0.0,0.0,8.2,0.9938317630999999
22.6,13.9,33.3,0.0,0.0,10.7,0.99353568611
20.2,15.0,27.2,0.0,0.0,10.5,0.99550953271
20.5,12.8,29.4,0.0,0.0,9.9,0.9993523860779631
20.0,12.8,28.9,0.0,0.0,12.2,0.9978781486299999
18.1,11.7,26.1,0.0,0.0,13.3,0.9980755332899999
17.9,11.0,25.6,0.0,0.0,11.4,0.9993523860779631
15.4,12.8,20.0,0.0,0.0,21.4,0.9958056096999999
15.9,10.0,21.1,0.0,0.0,18.9,0.9993523860779631
15.4,11.1,22.2,0.0,0.0,18.9,0.99886507193
16.0,12.2,22.2,0.0,0.0,17.4,0.9993585335799999
16.3,12.8,22.0,0.0,0.0,16.048370497427104,0.9986676872699999
15.3,9.4,21.7,0.0,0.0,13.6,0.9985689949399998
15.3,11.1,21.1,0.0,0.0,15.3,0.9976807639699998
16.6,12.2,22.2,0.0,0.0,21.0,0.9977794562999999
17.3,13.9,23.3,0.0,0.0,17.2,0.9985689949399998
17.8,11.1,24.4,0.0,0.0,16.048370497427104,0.9993585335799999
18.9,13.3,26.1,0.0,0.0,12.4,1.0009376108599999
21.0,12.2,31.7,0.0,0.0,10.2,0.9985689949399998
18.1,13.9,26.1,0.0,0.0,13.1,0.9964964560099999
17.3,13.9,23.3,0.0,0.0,16.1,0.9956082250399998
16.4,13.9,21.7,0.0,0.0,18.2,0.9983716102799999
17.1,13.3,23.3,0.0,0.0,17.7,1.00231930348
16.9,12.2,23.9,0.0,0.0,16.3,1.0012336878499999
16.9,11.1,23.3,0.0,0.0,11.6,0.9969899176599999
17.9,12.8,25.6,0.0,0.0,10.9,0.9966938406699999
16.7,11.7,23.9,0.0,0.0,11.6,0.9993523860779631
16.6,12.8,23.3,0.0,0.0,18.5,0.99886507193
17.1,13.9,22.8,0.0,0.0,19.4,0.99945722591
16.5,13.3,21.7,0.0,0.0,20.3,0.9997533028999999
16.6,12.2,23.3,0.0,0.0,15.2,1.0012336878499999
15.9,9.4,25.0,0.0,0.0,12.9,0.9997533028999999
16.4,12.8,22.2,0.0,0.0,14.7,0.9973846869799999
17.2,13.9,22.2,0.0,0.0,17.8,0.9990624565899998
16.9,13.9,23.3,0.0,0.0,13.3,0.9993585335799999
16.2,13.9,22.2,0.0,0.0,16.9,0.9996546105699998
15.9,12.8,22.2,0.0,0.0,14.8,1.00044414921
16.2,12.8,22.2,0.0,0.0,13.2,0.9997533028999999
16.5,13.3,23.9,0.0,0.0,14.723090586145648,0.9978781486299999
17.4,12.8,23.9,0.0,0.0,16.1,0.9957069173699998
15.7,12.8,20.6,0.0,0.0,17.8,0.9987663795999999
16.6,13.3,22.2,0.0,0.0,14.2,0.9991611489199999
17.2,12.2,23.3,0.0,0.0,13.0,0.9975820716399999
17.6,10.6,24.4,0.0,0.0,16.2,0.9985689949399998
17.1,8.9,23.9,0.0,0.0,11.6,0.9985689949399998
16.9,13.3,23.3,0.0,0.0,12.8,0.99945722591
16.7,12.2,22.8,0.0,0.0,11.8,0.9990285949112584
