tavg,tmin,tmax,prcp,snow,wspd,pres
12.1,3.3,22.8,0.0,0.0,4.6,1.0044795411639997
12.9,7.2,21.1,0.0,0.0,4.4,1.00695784299
12.2,8.3,19.4,0.0,0.0,8.3,1.00389838076
8.7,3.9,13.3,0.0,0.0,4.3,1.00508268872
7.6,1.7,12.2,0.19291044776119404,0.0,11.0,1.0044795411639997
9.3,3.3,13.0,0.19291044776119404,0.0,13.2,1.0044795411639997
7.2,1.1,12.8,0.0,0.0,6.6,1.0044795411639997
9.2,1.7,17.8,0.0,0.0,9.2,0.9983716102799999
10.9,2.2,21.1,0.0,0.0,4.3,1.0091290742499999
12.1,3.3,22.8,0.0,0.0,4.6,1.0044795411639997
10.3,1.1,21.7,0.0,0.0,3.9,1.0044795411639997
11.7,4.4,22.8,0.19291044776119404,0.0,4.0,1.0044795411639997
13.2,4.4,26.1,0.0,0.0,1.7,1.00587222736
12.8,7.0,22.8,0.0,0.0,3.3,1.0044795411639997
12.9,5.0,23.3,0.0,0.0,5.7,1.00478661173
13.2,3.3,23.9,0.0,0.0,10.0,1.0044795411639997
13.2,7.8,20.6,0.0,0.0,11.4,1.0049839963899998
10.8,3.9,18.9,0.0,0.0,4.2,1.0042931500799999
10.4,5.0,15.0,0.19291044776119404,0.0,3.0,1.00508268872
10.9,7.8,16.0,0.19291044776119404,0.0,5.3,1.0044795411639997
11.0,2.8,19.4,0.0,0.0,8.9,1.0048853040599999
12.0,5.6,20.0,0.0,0.0,14.1,1.0045892270699999
11.0,2.8,19.4,0.0,0.0,8.2,1.0048853040599999
11.1,3.9,21.1,0.0,0.0,6.3,1.00320753445
9.2,4.0,16.1,0.19291044776119404,0.0,5.5,1.0044795411639997
10.4,3.9,18.3,0.0,0.0,6.2,1.0044795411639997
10.9,6.7,15.6,0.19291044776119404,0.0,4.3,1.0044795411639997
12.4,9.4,17.2,0.19291044776119404,0.0,3.8,1.0044795411639997
14.5,8.9,24.4,0.0,0.0,6.2,1.00389838076
13.2,10.0,18.3,0.19291044776119404,0.0,4.6,1.0044795411639997
13.2,11.1,15.6,0.19291044776119404,0.0,4.2,1.0044795411639997
13.2,9.4,17.8,0.2288235294117647,0.0,4.2,1.0030617595405504
11.6,7.0,19.4,0.0,0.0,6.7,1.0030617595405504
12.6,8.9,23.3,0.0,0.0,5.8,1.0030617595405504
12.0,9.4,15.0,0.2288235294117647,0.0,6.8,1.0035036114399998
13.6,10.6,17.2,0.2288235294117647,0.0,5.8,1.0030617595405504
13.9,11.1,20.0,0.2288235294117647,0.0,6.6,1.0030617595405504
13.0,10.0,17.2,0.2288235294117647,0.0,10.9,1.0030617595405504
12.9,7.8,20.0,0.0,0.0,24.0,0.9996546105699998
15.6,6.7,24.4,0.0,0.0,15.3,1.0030617595405504
19.0,8.3,29.4,0.0,0.0,12.5,1.00537876571
16.5,10.0,23.3,0.0,0.0,13.8,1.00044414921
13.4,5.6,23.3,0.0,0.0,5.2,0.9975820716399999
14.0,6.1,22.8,0.0,0.0,10.7,0.99689122533
13.8,7.8,21.7,0.0,0.0,19.9,0.99827291795
10.5,6.1,15.6,0.0,0.0,20.2,0.99827291795
12.4,5.6,20.6,0.0,0.0,15.7,1.00389838076
14.0,5.6,22.2,0.0,0.0,12.7,1.0094251512399999
15.1,5.0,24.4,0.0,0.0,8.6,1.00932645891
15.9,6.1,26.7,0.0,0.0,8.4,1.0073526123099998
17.9,10.6,26.7,0.0,0.0,12.4,1.0037009960999999
17.8,6.7,30.6,0.0,0.0,5.2,1.00143107251
20.0,10.0,32.2,0.0,0.0,8.9,0.99886507193
19.2,7.8,27.8,0.0,0.0,13.6,1.0030617595405504
11.2,7.2,17.2,0.0,0.0,10.1,1.0030617595405504
12.6,9.4,18.9,0.0,0.0,8.9,1.0030617595405504
12.1,6.7,20.6,0.0,0.0,6.8,1.0030617595405504
13.4,8.9,23.9,0.0,0.0,7.5,1.0074513046399998
16.6,5.0,30.0,0.0,0.0,3.3,1.0030617595405504
21.3,10.6,32.2,0.0,0.0,9.1,0.9964964560099999
20.7,11.1,30.6,0.0,0.0,13.6,0.9957069173699998
22.3,13.3,31.7,0.0,0.0,14.6,1.0007402261999998
19.3,6.7,32.2,0.0,0.0,4.7,1.0054774580399999
19.0,7.2,32.2,0.0,0.0,5.8,0.9998519952299999
17.3,6.7,31.7,0.0,0.0,7.6,0.9905749162099999
14.7,12.8,17.2,0.19738903394255874,0.0,10.1,1.0005310727893515
15.3,9.4,20.6,0.0,0.0,7.5,1.0005310727893515
15.6,10.0,21.7,0.0,0.0,7.3,1.00182584183
13.0,10.6,18.9,0.19738903394255874,0.0,8.4,1.0005310727893515
14.2,8.9,22.2,0.0,0.0,8.5,1.0005310727893515
15.0,10.0,23.9,0.0,0.0,8.4,1.00656307367
15.9,8.3,29.4,0.0,0.0,6.9,1.0049839963899998
16.5,8.3,27.8,0.0,0.0,7.8,1.0005310727893515
17.9,9.0,29.4,0.2,0.0,8.1,1.0005310727893515
18.9,10.0,32.0,0.0,0.0,8.5,1.0005310727893515
16.6,6.7,28.3,0.0,0.0,6.9,1.00152976484
17.0,11.7,23.3,0.0,0.0,10.7,1.00083891853
14.6,6.7,22.2,0.0,0.0,8.5,1.0017271495
16.9,6.1,28.3,0.0,0.0,10.6,1.0046879193999998
20.3,12.2,29.4,0.0,0.0,12.9,1.00379968843
19.6,10.0,31.7,0.0,0.0,10.5,1.00054284154
15.6,7.8,23.9,0.0,0.0,19.3,1.0001480722199998
13.9,7.2,21.1,0.0,0.0,23.1,1.0009376108599999
15.1,8.3,22.2,0.0,0.0,14.1,1.00024676455
14.9,5.0,23.9,0.0,0.0,6.0,1.00054284154
15.0,5.6,23.9,0.0,0.0,7.2,1.00083891853
16.6,8.9,23.9,0.0,0.0,12.9,1.0037009960999999
13.4,8.9,17.2,0.19738903394255874,0.0,7.0,1.0005310727893515
17.1,13.3,23.9,1.1,0.0,6.6,1.0005310727893515
18.7,13.3,26.7,0.19738903394255874,0.0,9.5,0.9991611489199999
18.4,7.2,28.9,0.0,0.0,10.1,1.0000493798899999
21.2,8.9,33.3,0.0,0.0,10.9,1.00044414921
23.1,11.1,35.6,0.0,0.0,7.0,0.99689122533
20.0,11.1,30.0,0.0,0.0,8.5,0.9989135386583959
14.4,9.4,19.4,0.0,0.0,10.3,0.9989135386583959
14.3,12.2,18.3,0.0,0.0,10.3,0.9989135386583959
15.0,11.1,21.7,0.0,0.0,9.8,0.9989135386583959
15.2,10.6,23.9,0.0,0.0,8.9,0.9989135386583959
19.3,10.0,32.8,0.0,0.0,6.1,0.9956082250399998
19.6,12.8,31.1,0.0,0.0,9.6,0.9930422244599999
15.2,13.3,18.3,0.0,0.0,9.3,0.9989135386583959
14.7,13.3,16.7,0.0014251781472684084,0.0,6.8,0.9989135386583959
18.0,11.1,26.7,0.0,0.0,4.4,0.9989135386583959
18.2,6.0,29.4,0.0,0.0,9.9,0.9989135386583959
19.1,7.8,28.9,0.0,0.0,10.9,1.0027140728
20.1,11.1,31.7,0.0,0.0,12.1,0.9983716102799999
16.3,7.8,26.7,0.0,0.0,8.0,0.9978781486299999
19.2,7.8,31.7,0.0,0.0,8.1,1.00241799581
18.5,9.4,28.3,0.0,0.0,10.5,1.00301014979
17.0,9.4,23.9,0.0,0.0,14.5,1.0013323801799998
18.2,8.9,26.1,0.0,0.0,12.8,1.0022206111499998
19.5,8.9,28.9,0.0,0.0,10.1,1.0003454568799999
19.9,8.9,31.1,0.0,0.0,5.6,0.9995559182399999
22.1,10.6,32.8,0.0,0.0,9.3,0.9975820716399999
17.2,13.3,21.1,0.0014251781472684084,0.0,11.2,0.9989135386583959
15.1,13.9,17.2,0.0014251781472684084,0.0,7.0,0.9989135386583959
16.4,15.0,17.8,0.0014251781472684084,0.0,6.8,0.9989135386583959
19.9,16.1,26.1,0.3,0.0,4.6,0.9989135386583959
22.1,13.9,32.8,0.0,0.0,5.9,1.00320753445
25.7,15.0,36.7,0.0,0.0,5.8,1.0003454568799999
26.7,15.6,38.3,0.0,0.0,6.4,0.9969899176599999
23.8,14.4,34.4,0.0014251781472684084,0.0,8.0,0.9947199940699999
23.0,13.3,36.1,0.0,0.0,6.7,0.9952134557199999
21.5,15.0,32.2,0.0,0.0,9.8,0.9970886099899998
21.1,13.9,30.6,0.0,0.0,7.6,0.9965951483399998
25.4,17.2,35.0,0.0,0.0,11.9,0.9925487628099999
19.7,12.2,28.3,0.0,0.0,10.7,0.99205530116
16.6,11.7,24.4,0.0,0.0,8.6,0.9993020807664907
16.0,11.1,25.6,0.0,0.0,9.0,0.9993020807664907
16.4,11.0,25.6,0.0,0.0,9.5,0.9993020807664907
18.207378335949766,11.441915227629513,28.07174254317111,0.0,0.0,6.0,0.9993020807664907
15.7,10.0,24.4,0.0,0.0,11.3,1.0001480722199998
14.8,10.0,23.9,0.0,0.0,9.7,0.9993020807664907
16.0,11.1,25.0,0.0,0.0,8.4,0.9987663795999999
16.8,7.8,27.8,0.0,0.0,7.9,0.9993020807664907
15.6,11.0,24.4,0.0,0.0,9.2,0.9993020807664907
13.7,10.0,19.4,0.0,0.0,9.8,0.9984703026099999
14.9,12.2,20.0,0.0,0.0,8.1,1.0000493798899999
16.4,10.0,26.1,0.0,0.0,7.5,1.00360230377
17.1,12.2,26.7,0.0,0.0,8.8,1.00192453416
17.1,11.1,28.9,0.0,0.0,8.3,0.9993020807664907
16.7,10.0,28.3,0.0,0.0,7.2,0.9993020807664907
16.3,11.1,26.1,0.0,0.0,9.3,0.9954108403799999
17.9,11.1,28.3,0.0,0.0,6.5,0.9995559182399999
19.1,15.0,25.0,0.0,0.0,8.8,1.00083891853
18.6,12.2,28.9,0.0,0.0,9.7,0.9993020807664907
16.7,11.7,26.1,0.0,0.0,12.2,0.9993020807664907
15.7,11.1,24.4,0.0,0.0,10.8,1.0034049191099998
15.5,11.7,24.4,0.0,0.0,9.9,1.00044414921
14.2,11.1,21.1,0.0,0.0,9.6,0.99689122533
14.6,11.7,21.1,0.0,0.0,7.6,0.9993020807664907
14.8,11.7,22.2,0.0,0.0,8.2,0.9993020807664907
16.6,11.7,25.0,0.0,0.0,7.2,0.9993020807664907
17.2,7.8,27.8,0.0,0.0,5.6,1.0016284571699998
17.7,7.8,28.9,0.0,0.0,8.6,0.9992598412499999
15.0,10.0,25.0,0.0019650655021834058,0.0,8.7,0.9991929349632206
14.4,10.6,23.9,0.0,0.0,10.8,1.00113499552
14.7,11.1,22.2,0.0,0.0,7.6,1.00152976484
15.1,11.1,22.8,0.0,0.0,6.9,1.0020232264899998
15.9,13.3,20.0,0.0,0.0,6.1,1.00379968843
16.0,11.1,22.8,0.0,0.0,7.6,1.00143107251
15.5,11.7,23.3,0.0,0.0,9.0,0.9999506875599999
17.0,13.3,25.6,0.0019650655021834058,0.0,6.7,1.00212191882
16.6,12.2,26.1,0.0,0.0,9.8,1.0012336878499999
15.1,13.9,17.2,0.0014251781472684084,0.0,7.0,0.9989135386583959
19.2,11.7,32.8,0.0019650655021834058,0.0,6.8,0.9999506875599999
20.0,9.4,33.9,0.0,0.0,7.0,0.9991611489199999
20.9,12.2,31.7,0.0,0.0,6.6,0.9989637642599999
20.5,13.9,31.7,0.0,0.0,7.6,0.9991929349632206
20.7,11.7,31.7,0.0,0.0,6.4,0.9987663795999999
