tavg,tmin,tmax,prcp,snow,wspd,pres
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
18.3,10.0,30.0,,0.0,5.7,
19.3,11.0,32.0,,0.0,6.6,
,,,,,,
19.8,12.0,33.0,,0.0,5.8,
17.7,11.0,31.0,,0.0,6.3,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22.0,10.0,37.0,,0.0,5.1,
,,,,,,
22.3,14.0,36.0,,0.0,6.4,
16.4,12.0,26.0,,0.0,5.9,
16.1,11.0,24.0,,0.0,7.6,
16.0,6.0,28.0,,0.0,5.5,
18.3,6.0,32.0,,0.0,4.1,
17.4,7.0,32.0,,0.0,5.3,
12.6,7.0,21.0,,0.0,7.6,
12.2,8.0,17.0,,0.0,12.6,
10.9,3.0,20.0,,0.0,5.9,
12.6,4.0,23.0,,0.0,4.9,
13.1,4.0,24.0,,0.0,6.9,
11.8,6.0,22.0,,0.0,5.7,
13.0,9.0,22.0,,0.0,4.9,
12.4,8.0,21.0,,0.0,4.9,
13.9,11.0,19.0,,0.0,5.4,
14.8,11.0,18.0,,0.0,10.6,
16.3,14.0,18.0,,0.0,16.7,
19.0,17.0,22.0,,0.0,1.9,
20.1,16.0,28.0,,0.0,5.6,
21.3,13.0,34.0,,0.0,3.3,
22.2,16.0,34.0,,0.0,4.6,
17.3,13.0,26.0,,0.0,4.5,
15.3,12.0,22.0,,0.0,7.9,
16.2,11.0,24.0,,0.0,9.8,
14.2,7.0,26.0,,0.0,6.2,
14.5,8.0,25.0,,0.0,5.8,
17.0,8.0,32.0,,0.0,4.1,
16.1,9.0,29.0,,0.0,5.8,
,,,,,,
,,,,,,
14.6,11.0,21.0,,0.0,11.8,
13.0,8.0,18.0,,0.0,14.7,
11.1,2.0,21.0,,0.0,5.2,
12.3,4.0,25.0,,0.0,4.2,
13.7,4.0,28.0,,0.0,4.4,
