tavg,tmin,tmax,prcp,snow,wspd,pres
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25.3,20.0,32.0,,0.0,4.8,
21.3,15.0,27.0,,0.0,9.2,
21.1,15.0,27.0,,0.0,6.4,
12.0,7.0,17.0,,0.0,6.1,
,,,,,,
14.2,8.0,20.0,,0.0,3.3,
18.3,13.0,24.0,,0.0,3.6,
17.3,13.0,22.0,,0.0,3.0,
16.6,10.0,23.0,,0.0,9.2,
21.2,17.0,26.0,,0.0,10.3,
23.5,17.0,29.0,,0.0,4.6,
24.0,18.0,30.0,,0.0,6.0,
23.3,18.0,28.0,,0.0,4.1,
23.6,19.0,29.0,,0.0,4.9,
24.4,19.0,30.0,,0.0,6.8,
29.3,23.0,35.0,,0.0,8.6,
,,,,,,
23.1,19.0,29.0,,0.0,12.0,
22.7,17.0,28.0,,0.0,9.9,
24.6,19.0,30.0,,0.0,10.7,
21.4,10.0,25.0,,0.0,11.8,
13.7,9.0,18.0,,0.0,8.1,
12.5,9.0,18.0,,0.0,8.4,
13.4,7.0,20.0,,0.0,5.6,
13.1,7.0,19.0,,0.0,6.7,
15.6,8.0,23.0,,0.0,4.6,
20.1,14.0,26.0,,0.0,4.7,
21.2,15.0,28.0,,0.0,6.1,
,,,,,,
20.9,16.0,26.0,,0.0,5.6,
19.9,15.0,25.0,,0.0,3.5,
22.8,17.0,29.0,,0.0,3.5,
23.5,18.0,29.0,,0.0,5.1,
24.1,18.0,30.0,,0.0,5.0,
,,,,,,
,,,,,,
25.8,20.0,32.0,,0.0,11.3,
26.8,22.0,32.0,,0.0,12.2,
,,,,,,
28.3,22.0,34.0,,0.0,8.2,
29.5,23.0,36.0,,0.0,9.5,
29.8,24.0,37.0,,0.0,12.4,
26.2,20.0,31.0,,0.0,11.4,
24.8,22.0,29.0,,0.0,7.8,
,,,,,,
20.3,11.0,25.0,,0.0,11.6,
13.8,8.0,20.0,,0.0,7.2,
