tavg,tmin,tmax,prcp,snow,wspd,pres
8.4,2.8,14.4,0.19291044776119404,0.0,10.6,1.0044795411639997
7.9,2.2,13.9,0.19291044776119404,0.0,9.0,1.0012336878499999
6.8,2.8,11.0,0.19291044776119404,0.0,8.7,1.0044795411639997
7.3,1.1,12.2,0.19291044776119404,0.0,9.9,1.0044795411639997
9.4,8.3,11.0,0.19291044776119404,0.0,16.7,1.0044795411639997
9.2,6.7,12.8,0.19291044776119404,0.0,7.2,1.0044795411639997
9.5,6.1,13.3,0.19291044776119404,0.0,10.7,1.0070565353199998
8.6,2.2,15.6,0.19291044776119404,0.0,5.2,1.0082408432799999
7.5,2.2,12.8,0.19291044776119404,0.0,11.3,1.0044795411639997
2.7,0.0,7.2,0.19291044776119404,0.0,3.8,1.0044795411639997
4.6,0.6,10.0,0.19291044776119404,0.0,7.4,0.9923513781499999
5.8,2.8,11.1,0.19291044776119404,0.0,5.3,1.0044795411639997
5.6,0.0,11.7,0.19291044776119404,0.0,10.3,1.0070565353199998
8.3,5.6,12.2,0.19291044776119404,0.0,8.9,1.00113499552
8.9,5.6,12.8,0.19291044776119404,0.0,6.7,1.0044795411639997
9.7,7.8,11.7,0.19291044776119404,0.0,13.5,1.0044795411639997
10.3,6.1,16.1,0.9,0.0,9.4,1.0010363031899998
10.2,5.6,17.2,0.0,0.0,12.9,0.9993585335799999
9.7,2.8,16.1,0.0,0.0,9.3,0.9972859946499999
8.1,6.1,11.1,0.19291044776119404,0.0,9.5,0.9948186863999999
8.4,2.8,14.4,0.19291044776119404,0.0,10.6,1.0044795411639997
8.4,2.8,14.4,0.19291044776119404,0.0,10.6,1.0044795411639997
10.6,3.9,17.2,0.19291044776119404,0.0,5.5,1.0044795411639997
11.7,9.4,13.3,0.19291044776119404,0.0,6.2,1.0044795411639997
11.0,7.2,12.8,0.19291044776119404,0.0,12.8,1.0044795411639997
9.9,2.8,17.2,0.0,0.0,4.1,1.0046879193999998
8.4,3.3,15.6,0.19291044776119404,0.0,10.2,1.0044795411639997
9.5,7.2,12.2,0.19291044776119404,0.0,8.2,1.0044795411639997
9.9,7.8,13.3,0.19291044776119404,0.0,10.9,1.0044795411639997
10.3,8.3,12.8,0.19291044776119404,0.0,6.9,1.0044795411639997
8.9,5.6,11.7,0.19291044776119404,0.0,8.5,1.0044795411639997
10.0,6.7,14.4,0.2288235294117647,0.0,7.5,1.0052800733799998
8.4,2.8,14.4,0.19291044776119404,0.0,10.6,1.0044795411639997
11.0,7.8,14.0,0.2288235294117647,0.0,8.9,1.0030617595405504
8.4,4.4,12.8,0.2288235294117647,0.0,7.6,1.0030617595405504
10.3,7.8,15.0,0.2288235294117647,0.0,8.0,0.9961016866899999
9.2,4.4,13.9,0.0,0.0,3.4,1.0056748427
10.0,6.7,13.9,6.3,0.0,9.1,1.0030617595405504
11.0,7.8,15.6,0.2288235294117647,0.0,6.3,1.0030617595405504
11.1,8.9,15.0,0.2288235294117647,0.0,3.8,1.00212191882
10.5,7.0,14.4,0.2288235294117647,0.0,7.0,1.0030617595405504
10.9,9.4,12.8,0.2288235294117647,0.0,18.0,1.0030617595405504
12.5,11.0,13.9,0.2288235294117647,0.0,9.1,1.0030617595405504
15.6,10.6,21.7,0.2288235294117647,0.0,5.3,1.00301014979
14.4,11.1,20.0,0.2288235294117647,0.0,7.4,0.99402914776
11.0,9.4,13.0,0.2288235294117647,0.0,13.1,1.0030617595405504
9.5,6.7,13.3,0.2288235294117647,0.0,7.2,1.0030617595405504
9.1,2.0,16.7,0.2288235294117647,0.0,5.1,1.0030617595405504
12.1,3.3,20.6,0.0,0.0,7.1,1.00725391998
13.3,4.0,22.8,0.0,0.0,7.2,1.0030617595405504
12.5,6.7,20.6,0.0,0.0,6.9,1.0030617595405504
