tavg,tmin,tmax,prcp,snow,wspd,pres
11.1,8.0,15.0,,0.0,,
12.2,7.0,19.0,,0.0,,
16.2,8.0,24.0,,0.0,,
12.7,8.0,21.0,,0.0,,
15.6,8.0,27.0,,0.0,,
12.5,7.0,20.0,,0.0,,
12.8,10.0,17.0,,0.0,,
11.1,8.0,15.0,,0.0,,
14.3,8.0,23.0,,0.0,,
14.6,12.0,19.0,,0.0,,
16.1,14.0,21.0,,0.0,,
12.2,11.0,13.0,,0.0,,
11.5,10.0,13.0,,0.0,,
13.0,11.0,16.0,,0.0,,
12.5,10.0,16.0,,0.0,,
12.2,10.0,16.0,,0.0,,
10.7,7.0,15.0,,0.0,,
8.3,5.0,12.0,,0.0,,
10.4,7.0,15.0,,0.0,,
11.6,9.0,15.0,,0.0,,
12.3,8.0,17.0,,0.0,,
13.2,8.0,20.0,,0.0,,
13.1,9.0,17.0,,0.0,,
12.2,8.0,17.0,,0.0,,
12.1,10.0,16.0,,0.0,,
9.7,6.0,14.0,,0.0,,
9.8,5.0,15.0,,0.0,,
10.7,6.0,16.0,,0.0,,
11.5,6.0,17.0,,0.0,,
13.6,7.0,22.0,,0.0,,
15.6,11.0,22.0,,0.0,,
14.3,10.0,20.0,,0.0,,
14.2,11.0,18.0,,0.0,,
13.2,10.0,18.0,,0.0,,
13.3,11.0,18.0,,0.0,,
12.0,10.0,15.0,,0.0,,
11.2,10.0,13.0,,0.0,,
11.6,9.0,15.0,,0.0,,
10.4,8.0,14.0,,0.0,,
11.1,8.0,15.0,,0.0,,
11.1,8.0,15.0,,0.0,,
12.0,7.0,17.0,,0.0,,
12.2,11.0,14.0,,0.0,,
13.1,10.0,16.0,,0.0,,
11.1,8.0,15.0,,0.0,,
17.8,12.0,25.0,,0.0,,
15.3,10.0,22.0,,0.0,,
12.7,8.0,18.0,,0.0,,
13.4,11.0,17.0,,0.0,,
14.3,12.0,18.0,,0.0,,
14.6,12.0,19.0,,0.0,,
14.9,12.0,19.0,,0.0,,
17.8,10.0,25.0,,0.0,,
20.2,13.0,28.0,,0.0,,
22.8,17.0,32.0,,0.0,,
21.7,15.0,30.0,,0.0,,
21.0,15.0,30.0,,0.0,,
18.5,13.0,25.0,,0.0,,
17.5,14.0,25.0,,0.0,,
16.5,14.0,22.0,,0.0,,
17.3,15.0,23.0,,0.0,,
11.5,10.0,13.0,,0.0,,
13.0,11.0,16.0,,0.0,,
12.5,10.0,16.0,,0.0,,
18.4,11.0,25.0,,0.0,,
10.7,7.0,15.0,,0.0,,
23.5,16.0,32.0,,0.0,,
10.4,7.0,15.0,,0.0,,
19.3,15.0,25.0,,0.0,,
17.3,15.0,23.0,,0.0,,
17.3,15.0,21.0,,0.0,,
16.8,13.0,22.0,,0.0,,
16.1,12.0,22.0,,0.0,,
15.7,11.0,20.0,,0.0,,
16.6,12.0,22.0,,0.0,,
17.8,14.0,23.0,,0.0,,
18.0,13.0,24.0,,0.0,,
17.2,14.0,23.0,,0.0,,
17.5,14.0,22.0,,0.0,,
15.0,11.0,20.0,,0.0,,
16.0,9.0,23.0,,0.0,,
17.7,11.0,26.0,,0.0,,
16.7,14.0,22.0,,0.0,,
17.0,14.0,21.0,,0.0,,
17.0,12.0,24.0,,0.0,,
18.2,13.0,26.0,,0.0,,
19.0,15.0,27.0,,0.0,,
19.1,14.0,29.0,,0.0,,
18.3,15.0,25.0,,0.0,,
16.7,15.0,19.0,,0.0,,
18.0,15.0,23.0,,0.0,,
18.3,13.0,25.0,,0.0,,
19.3,13.0,28.0,,0.0,,
19.5,14.0,26.0,,0.0,,
21.8,15.0,31.0,,0.0,,
17.7,16.0,20.0,,0.0,,
16.4,15.0,19.0,,0.0,,
16.5,14.0,20.0,,0.0,,
16.8,11.0,22.0,,0.0,,
21.9,11.0,31.0,,0.0,,
26.3,19.0,34.0,,0.0,,
26.2,19.0,35.0,,0.0,,
22.4,15.0,31.0,,0.0,,
17.8,14.0,25.0,,0.0,,
17.8,14.0,25.0,,0.0,,
18.9,15.0,25.0,,0.0,,
18.0,15.0,24.0,,0.0,,
17.7,15.0,23.0,,0.0,,
17.3,14.0,22.0,,0.0,,
16.8,14.0,23.0,,0.0,,
18.0,15.0,23.0,,0.0,,
18.2,16.0,23.0,,0.0,,
18.2,15.0,23.0,,0.0,,
19.0,16.0,25.0,,0.0,,
19.0,16.0,26.0,,0.0,,
18.8,16.0,25.0,,0.0,,
10.4,7.0,15.0,,0.0,,
19.5,16.0,26.0,,0.0,,
19.3,16.0,26.0,,0.0,,
17.8,16.0,22.0,,0.0,,
16.8,14.0,22.0,,0.0,,
17.9,13.0,23.0,,0.0,,
17.9,16.0,23.0,,0.0,,
19.0,15.0,26.0,,0.0,,
20.4,14.0,30.0,,0.0,,
21.0,15.0,28.0,,0.0,,
23.2,15.0,32.0,,0.0,,
23.0,16.0,32.0,,0.0,,
20.7,15.0,29.0,,0.0,,
19.4,15.0,27.0,,0.0,,
19.8,14.0,28.0,,0.0,,
22.2,15.0,32.0,,0.0,,
24.5,17.0,36.0,,0.0,,
24.5,18.0,33.0,,0.0,,
22.0,17.0,30.0,,0.0,,
20.8,17.0,27.0,,0.0,,
20.3,17.0,27.0,,0.0,,
20.1,17.0,26.0,,0.0,,
20.5,16.0,27.0,,0.0,,
18.0,15.0,23.0,,0.0,,
20.5,15.0,28.0,,0.0,,
19.5,15.0,26.0,,0.0,,
