varietal,state,region,vintage,vintage_rating
chardonnay,CA,napa,1996,90
chardonnay,CA,napa,1997,94
chardonnay,CA,napa,1998,87
chardonnay,CA,napa,1999,88
chardonnay,CA,napa,2000,88
chardonnay,CA,napa,2001,90
chardonnay,CA,napa,2002,90
chardonnay,CA,napa,2003,85
chardonnay,CA,napa,2004,85
chardonnay,CA,napa,2005,86
chardonnay,CA,napa,2006,86
chardonnay,CA,napa,2007,90
chardonnay,CA,napa,2008,87
chardonnay,CA,napa,2009,88
chardonnay,CA,napa,2010,87
chardonnay,CA,napa,2011,87
chardonnay,CA,napa,2012,91
chardonnay,CA,napa,2013,91
chardonnay,CA,napa,2014,92
chardonnay,CA,napa,2015,90
chardonnay,CA,napa,2016,94
chardonnay,CA,napa,2017,90
chardonnay,CA,napa,2018,93
chardonnay,CA,napa,2019,92
cabernet sauvignon,CA,napa,1996,93
cabernet sauvignon,CA,napa,1997,96
cabernet sauvignon,CA,napa,1998,85
cabernet sauvignon,CA,napa,1999,93
cabernet sauvignon,CA,napa,2000,85
cabernet sauvignon,CA,napa,2001,98
cabernet sauvignon,CA,napa,2002,93
cabernet sauvignon,CA,napa,2003,90
cabernet sauvignon,CA,napa,2004,90
cabernet sauvignon,CA,napa,2005,90
cabernet sauvignon,CA,napa,2006,95
cabernet sauvignon,CA,napa,2007,90
cabernet sauvignon,CA,napa,2008,95
cabernet sauvignon,CA,napa,2009,92
cabernet sauvignon,CA,napa,2010,89
cabernet sauvignon,CA,napa,2011,89
cabernet sauvignon,CA,napa,2012,89
cabernet sauvignon,CA,napa,2013,95
cabernet sauvignon,CA,napa,2014,94
cabernet sauvignon,CA,napa,2015,95
cabernet sauvignon,CA,napa,2016,95
cabernet sauvignon,CA,napa,2017,90
cabernet sauvignon,CA,napa,2018,94
cabernet sauvignon,CA,napa,2019,94
zinfadel,CA,napa,1996,88
zinfadel,CA,napa,1997,89
zinfadel,CA,napa,1998,85
zinfadel,CA,napa,1999,90
zinfadel,CA,napa,2000,85
zinfadel,CA,napa,2001,91
zinfadel,CA,napa,2002,86
zinfadel,CA,napa,2003,88
zinfadel,CA,napa,2004,90
zinfadel,CA,napa,2005,87
zinfadel,CA,napa,2006,87
zinfadel,CA,napa,2007,94
zinfadel,CA,napa,2008,89
zinfadel,CA,napa,2009,89
zinfadel,CA,napa,2010,89
zinfadel,CA,napa,2011,89
zinfadel,CA,napa,2012,92
zinfadel,CA,napa,2013,93
zinfadel,CA,napa,2014,93
zinfadel,CA,napa,2015,93
zinfadel,CA,napa,2016,93
zinfadel,CA,napa,2017,89
zinfadel,CA,napa,2018,90
zinfadel,CA,napa,2019,90
zinfadel,CA,napa,2020,90
chardonnay,CA,RRV,1996,92
chardonnay,CA,RRV,1997,95
chardonnay,CA,RRV,1998,88
chardonnay,CA,RRV,1999,92
chardonnay,CA,RRV,2000,90
chardonnay,CA,RRV,2001,93
chardonnay,CA,RRV,2002,97
chardonnay,CA,RRV,2003,91
chardonnay,CA,RRV,2004,93
chardonnay,CA,RRV,2005,91
chardonnay,CA,RRV,2006,86
chardonnay,CA,RRV,2007,92
chardonnay,CA,RRV,2008,90
chardonnay,CA,RRV,2009,87
chardonnay,CA,RRV,2010,89
chardonnay,CA,RRV,2011,89
chardonnay,CA,RRV,2012,93
chardonnay,CA,RRV,2013,94
chardonnay,CA,RRV,2014,94
chardonnay,CA,RRV,2015,92
chardonnay,CA,RRV,2016,94
chardonnay,CA,RRV,2017,92
chardonnay,CA,RRV,2018,94
chardonnay,CA,RRV,2019,94
chardonnay,CA,RRV,2020,92
pinot noir,CA,RRV,1996,90
pinot noir,CA,RRV,1997,91
pinot noir,CA,RRV,1998,85
pinot noir,CA,RRV,1999,91
pinot noir,CA,RRV,2000,89
pinot noir,CA,RRV,2001,90
pinot noir,CA,RRV,2002,89
pinot noir,CA,RRV,2003,90
pinot noir,CA,RRV,2004,93
pinot noir,CA,RRV,2005,95
pinot noir,CA,RRV,2006,87
pinot noir,CA,RRV,2007,96
pinot noir,CA,RRV,2008,92
pinot noir,CA,RRV,2009,90
pinot noir,CA,RRV,2010,91
pinot noir,CA,RRV,2011,89
pinot noir,CA,RRV,2012,95
pinot noir,CA,RRV,2013,95
pinot noir,CA,RRV,2014,94
pinot noir,CA,RRV,2015,92
pinot noir,CA,RRV,2016,95
pinot noir,CA,RRV,2017,92
pinot noir,CA,RRV,2018,94
pinot noir,CA,RRV,2019,94
pinot noir,CA,RRV,2020,93
cabernet sauvignon,CA,sonoma,1996,90
cabernet sauvignon,CA,sonoma,1997,91
cabernet sauvignon,CA,sonoma,1998,84
cabernet sauvignon,CA,sonoma,1999,90
cabernet sauvignon,CA,sonoma,2000,84
cabernet sauvignon,CA,sonoma,2001,93
cabernet sauvignon,CA,sonoma,2002,88
cabernet sauvignon,CA,sonoma,2003,89
cabernet sauvignon,CA,sonoma,2004,87
cabernet sauvignon,CA,sonoma,2005,89
cabernet sauvignon,CA,sonoma,2006,87
cabernet sauvignon,CA,sonoma,2007,92
cabernet sauvignon,CA,sonoma,2008,90
cabernet sauvignon,CA,sonoma,2009,87
cabernet sauvignon,CA,sonoma,2010,87
cabernet sauvignon,CA,sonoma,2011,88
cabernet sauvignon,CA,sonoma,2012,93
cabernet sauvignon,CA,sonoma,2013,94
cabernet sauvignon,CA,sonoma,2014,93
cabernet sauvignon,CA,sonoma,2015,93
cabernet sauvignon,CA,sonoma,2016,94
cabernet sauvignon,CA,sonoma,2017,90
cabernet sauvignon,CA,sonoma,2018,92
cabernet sauvignon,CA,sonoma,2019,91
pinot noir,CA,sonoma,1996,88
pinot noir,CA,sonoma,1997,90
pinot noir,CA,sonoma,1998,85
pinot noir,CA,sonoma,1999,90
pinot noir,CA,sonoma,2000,87
pinot noir,CA,sonoma,2001,89
pinot noir,CA,sonoma,2002,88
pinot noir,CA,sonoma,2003,89
pinot noir,CA,sonoma,2004,93
pinot noir,CA,sonoma,2005,95
pinot noir,CA,sonoma,2006,87
pinot noir,CA,sonoma,2007,95
pinot noir,CA,sonoma,2008,93
pinot noir,CA,sonoma,2009,91
pinot noir,CA,sonoma,2010,92
pinot noir,CA,sonoma,2011,90
pinot noir,CA,sonoma,2012,90
pinot noir,CA,sonoma,2013,95
pinot noir,CA,sonoma,2014,94
pinot noir,CA,sonoma,2015,92
pinot noir,CA,sonoma,2016,95
pinot noir,CA,sonoma,2017,90
pinot noir,CA,sonoma,2018,92
pinot noir,CA,sonoma,2019,91
pinot noir,CA,sonoma,2020,90
zinfadel,CA,sonoma,1996,90
zinfadel,CA,sonoma,1997,88
zinfadel,CA,sonoma,1998,86
zinfadel,CA,sonoma,1999,90
zinfadel,CA,sonoma,2000,86
