time,tavg,tmin,tmax,prcp,snow,wspd,pres
2008-03-01,9.6,6.1,13.3,0.6408906882591093,0.0,13.3,1.0113003055099998
2008-03-02,8.9,0.6,18.9,0.0,0.0,3.9,1.0115963824999998
2008-03-03,10.0,1.7,21.1,0.0,0.0,2.0,1.0118924594899998
2008-03-04,9.5,1.7,20.0,0.0,0.0,4.0,1.0076486892999998
2008-03-07,9.8,2.2,18.3,0.0,0.0,2.1,1.01208984415
2008-03-08,11.4,3.3,19.4,0.0,0.0,3.8,1.00903038192
2008-03-10,11.9,6.7,20.0,0.0,0.0,3.1,1.01090553619
2008-03-11,11.2,4.4,19.4,0.0,0.0,2.8,1.0121885364799998
2008-03-12,11.8,6.1,18.9,0.6408906882591093,0.0,3.2,1.0080434586199998
2008-03-13,11.2,7.8,15.0,0.6408906882591093,0.0,8.8,1.00606961202
2008-03-14,7.3,5.0,10.0,0.6408906882591093,0.0,3.9,1.0061683043499998
2008-03-15,7.2,2.8,11.7,4.2,0.0,10.8,1.0039970730899999
2008-03-16,7.9,1.1,15.0,0.0,0.0,5.6,1.0070565353199998
2008-03-17,10.2,1.7,19.4,0.0,0.0,6.9,1.01051076687
2008-03-18,12.4,7.2,18.9,0.0,0.0,6.4,1.0106094592
2008-03-19,9.5,4.4,14.4,0.6408906882591093,0.0,7.0,1.00833953561
2008-03-20,8.1,1.7,14.4,0.3,0.0,9.2,1.0115963824999998
2008-03-21,8.7,0.6,17.8,0.0,0.0,3.8,1.01544538337
2008-03-22,11.0,2.2,23.3,0.0,0.0,3.9,1.01120161318
2008-03-23,11.2,1.7,21.7,0.0,0.0,5.3,1.00981992056
2008-03-24,12.4,5.6,20.0,0.0,0.0,5.0,1.00725391998
2008-03-25,10.6,6.7,16.7,0.0,0.0,5.0,1.00784607396
2008-03-27,6.9,0.6,13.3,0.0,0.0,5.5,1.0045235706988842
2008-03-28,7.3,2.8,10.6,0.6408906882591093,0.0,4.5,1.0028127651299998
2008-03-29,8.4,4.4,12.8,0.6408906882591093,0.0,5.5,1.00152976484
2008-03-30,7.1,2.2,12.2,0.0,0.0,10.1,1.0040957654199998
2008-03-31,8.0,-0.6,18.3,0.0,0.0,1.5,1.0073526123099998
2008-04-01,10.8,6.1,18.3,0.0,0.0,3.0,1.00379968843
2008-04-02,11.1,2.2,21.7,0.0,0.0,4.3,1.00301014979
2008-04-03,12.0,2.8,22.8,0.0,0.0,3.1,1.0076486892999998
