time,tavg,tmin,tmax,prcp,snow,wspd,pres
2020-03-01,8.0,5.0,14.0,,0.0,4.8,
2020-03-02,9.4,3.0,20.0,,0.0,4.3,
2020-03-03,10.0,0.0,23.0,,0.0,5.5,
2020-03-04,11.3,2.0,22.0,,0.0,6.5,
2020-03-05,12.7,8.0,23.0,,0.0,6.4,
2020-03-06,11.2,6.0,21.0,,0.0,7.3,
2020-03-07,10.5,6.0,15.0,,0.0,6.1,
2020-03-09,13.2,10.0,18.0,,0.0,10.6,
2020-03-10,13.3,11.0,17.0,,0.0,12.5,
2020-03-11,13.2,11.0,18.0,,0.0,8.215503875968993,
2020-03-12,12.7,7.0,19.0,,0.0,4.5,
2020-03-13,12.3,10.0,15.0,,0.0,10.6,
2020-03-14,11.2,10.0,14.0,,0.0,11.9,
2020-03-15,10.5,8.0,14.0,,0.0,8.4,
2020-03-16,7.8,3.0,11.0,,0.0,14.8,
2020-03-17,7.2,3.0,12.0,,0.0,10.0,
2020-03-18,7.0,0.0,15.0,,0.0,10.0,
2020-03-19,9.2,3.0,14.0,,0.0,6.8,
2020-03-20,10.1,6.0,15.0,,0.0,5.4,
2020-03-21,11.5,6.0,17.0,,0.0,4.9,
2020-03-22,12.1,8.0,17.0,,0.0,13.5,
2020-03-23,11.7,7.0,16.0,,0.0,6.4,
2020-03-24,11.0,8.0,15.0,,0.0,6.2,
2020-03-25,9.0,5.0,16.0,,0.0,7.2,
2020-03-26,6.7,1.0,13.0,,0.0,8.2,
2020-03-27,8.4,3.0,15.0,,0.0,12.2,
2020-03-28,8.7,1.0,17.0,,0.0,6.9,
2020-03-29,11.0,5.0,17.0,,0.0,8.7,
2020-03-30,12.5,8.0,21.0,,0.0,6.5,
2020-03-31,14.1,4.0,26.0,,0.0,8.2,
2020-04-01,12.0,6.0,20.0,,0.0,8.2,
2020-04-02,11.0,6.0,21.0,,0.0,6.9,
2020-04-03,9.1,1.0,18.0,,0.0,8.9,
2020-04-04,10.9,7.0,17.0,,0.0,7.1,
2020-04-05,11.0,10.0,14.0,,0.0,9.7,
2020-04-06,10.2,7.0,15.0,,0.0,6.7,
2020-04-07,8.4,3.0,15.0,,0.0,5.0,
2020-04-08,8.5,5.0,13.0,,0.0,4.0,
2020-04-09,8.5,6.0,11.0,,0.0,12.4,
2020-04-10,10.0,3.0,20.0,,0.0,6.4,
2020-04-11,12.3,8.0,18.0,,0.0,8.5,
2020-04-12,11.6,10.0,16.0,,0.0,5.9,
2020-04-13,11.5,10.0,15.0,,0.0,4.3,
2020-04-14,14.3,9.0,23.0,,0.0,5.8,
2020-04-15,14.4,6.0,25.0,,0.0,5.6,
2020-04-16,12.3,7.0,21.0,,0.0,5.5,
2020-04-17,12.3,11.0,16.0,,0.0,6.1,
2020-04-18,12.4,11.0,16.0,,0.0,5.0,
2020-04-19,12.1,6.0,18.0,,0.0,8.0,
2020-04-20,12.8,10.0,18.0,,0.0,8.5,
2020-04-21,14.2,8.0,23.0,,0.0,13.6,
2020-04-22,15.3,6.0,28.0,,0.0,9.1,
2020-04-23,19.5,11.0,30.0,,0.0,11.6,
2020-04-24,23.3,13.0,33.0,,0.0,6.5,
2020-04-25,18.9,9.0,31.0,,0.0,5.1,
2020-04-26,16.3,10.0,26.0,,0.0,6.6,
2020-04-27,14.9,6.0,26.0,,0.0,7.0,
2020-04-28,17.3,8.0,29.0,,0.0,4.8,
2020-04-29,15.8,9.0,27.0,,0.0,4.6,
2020-04-30,17.5,11.0,31.0,,0.0,7.7,
2020-05-01,17.2,9.0,28.0,,0.0,11.9,
2020-05-02,13.2,6.0,22.0,,0.0,9.6,
2020-05-03,14.5,9.0,23.0,,0.0,8.7,
2020-05-04,14.6,3.0,31.0,,0.0,7.9,
2020-05-05,14.5,5.0,26.0,,0.0,10.002238805970151,
2020-05-06,17.9,7.0,33.0,,0.0,5.3,
2020-05-07,18.1,7.0,32.0,,0.0,5.8,
2020-05-08,20.3,8.0,32.0,,0.0,6.1,
2020-05-09,17.1,8.0,27.0,,0.0,6.8,
2020-05-10,13.9,9.0,22.0,,0.0,7.6,
