time,tavg,tmin,tmax,prcp,snow,wspd,pres
2015-03-01,7.8,4.0,12.0,,0.0,8.3,
2015-03-03,7.6,4.0,12.0,,0.0,10.4,
2015-03-04,9.6,5.0,14.0,,0.0,10.0,
2015-03-05,11.8,6.0,18.0,,0.0,8.2,
2015-03-06,13.3,9.0,18.0,,0.0,9.5,
2015-03-07,14.7,10.0,19.0,,0.0,6.8,
2015-03-10,16.4,12.0,22.0,,0.0,8.1,
2015-03-12,14.1,9.0,19.0,,0.0,8.9,
2015-03-13,16.5,12.0,22.0,,0.0,8.4,
2015-03-14,19.5,15.0,25.0,,0.0,10.4,
2015-03-15,19.0,14.0,23.0,,0.0,14.9,
2015-03-16,15.1,12.0,19.0,,0.0,6.4,
2015-03-17,14.1,11.0,18.0,,0.0,7.2,
2015-03-18,13.9,9.0,18.0,,0.0,10.2,
2015-03-19,16.9,14.0,22.0,,0.0,10.2,
2015-03-20,15.0,11.0,19.0,,0.0,10.3,
2015-03-21,14.2,10.0,19.0,,0.0,9.3,
2015-03-22,11.8,8.0,16.0,,0.0,10.2,
2015-03-23,9.4,7.0,14.0,,0.0,7.5,
2015-03-24,10.3,7.0,14.0,,0.0,5.8,
2015-03-25,14.3,9.0,19.0,,0.0,9.4,
2015-03-26,18.4,12.0,25.0,,0.0,8.5,
2015-03-27,19.0,15.0,25.0,,0.0,12.1,
2015-03-28,17.6,13.0,23.0,,0.0,10.2,
2015-03-29,18.8,14.0,24.0,,0.0,9.0,
2015-03-30,18.2,14.0,24.0,,0.0,10.2,
2015-04-01,10.2,7.0,14.0,,0.0,10.9,
2015-04-02,11.0,5.0,16.0,,0.0,12.4,
2015-04-03,13.3,8.0,18.0,,0.0,10.7,
2015-04-04,11.6,8.0,17.0,,0.0,11.5,
2015-04-05,5.5,3.0,9.0,,0.0,11.0,
2015-04-06,6.1,1.0,12.0,,0.0,10.2,
2015-04-07,3.5,2.0,7.0,,0.0,17.8,
2015-04-08,6.3,2.0,11.0,,0.0,8.7,
2015-04-09,10.2,4.0,17.0,,0.0,7.9,
2015-04-10,12.8,8.0,18.0,,0.0,9.4,
2015-04-11,13.3,9.0,18.0,,0.0,11.9,
2015-04-12,15.2,10.0,20.0,,0.0,9.7,
2015-04-13,15.3,8.0,20.0,,0.0,14.0,
2015-04-14,8.3,3.0,13.0,,0.0,9.1,
2015-04-15,12.7,8.0,18.0,,0.0,14.4,
2015-04-16,16.1,12.0,20.0,,0.0,12.0,
2015-04-17,17.5,12.0,22.0,,0.0,8.1,
2015-04-18,18.4,14.0,23.0,,0.0,8.8,
2015-04-19,19.5,15.0,24.0,,0.0,8.2,
2015-04-21,14.9,11.0,18.0,,0.0,10.1,
2015-04-22,14.6,9.0,18.0,,0.0,6.5,
2015-04-23,14.9,12.0,19.0,,0.0,8.9,
2015-04-24,10.5,6.0,15.0,,0.0,13.3,
2015-04-25,8.9,6.0,13.0,,0.0,10.7,
2015-04-26,12.9,7.0,18.0,,0.0,11.6,
2015-04-27,18.1,14.0,23.0,,0.0,11.2,
2015-04-28,19.2,14.0,25.0,,0.0,11.3,
2015-04-29,19.0,13.0,24.0,,0.0,9.4,
2015-04-30,20.9,15.0,26.0,,0.0,10.3,
2015-05-01,22.3,17.0,27.0,,0.0,9.2,
2015-05-02,20.0,15.0,24.0,,0.0,10.7,
2015-05-03,18.3,13.0,23.0,,0.0,9.6,
2015-05-04,16.8,13.0,22.0,,0.0,6.2,
2015-05-05,15.7,11.0,20.0,,0.0,8.6,
2015-05-06,13.7,8.0,19.0,,0.0,8.7,
2015-05-07,8.5,5.0,12.0,,0.0,13.8,
2015-05-09,14.1,9.0,19.0,,0.0,6.6,
2015-05-10,16.9,12.0,22.0,,0.0,8.9,
2015-05-11,14.8,9.0,20.0,,0.0,12.0,
2015-05-12,9.9,5.0,15.0,,0.0,11.0,
2015-05-13,10.3,5.0,15.0,,0.0,9.6,
2015-05-14,9.1,6.0,15.0,,0.0,9.5,
2015-05-15,9.8,5.0,14.0,,0.0,7.1,
2015-05-16,13.1,8.0,19.0,,0.0,8.3,
2015-05-17,12.7,9.0,18.0,,0.0,5.8,
2015-05-18,12.4,8.0,18.0,,0.0,6.0,
2015-05-19,13.6,8.0,20.0,,0.0,7.0,
2015-05-20,14.6,10.0,19.0,,0.0,10.2,
2015-05-21,10.9,6.0,17.0,,0.0,6.9,
2015-05-22,12.3,9.0,16.0,,0.0,5.6,
2015-05-23,13.7,10.0,19.0,,0.0,6.9,
2015-05-24,16.7,12.0,23.0,,0.0,9.5,
2015-05-25,18.2,13.0,23.0,,0.0,9.7,
2015-05-26,17.5,13.0,24.0,,0.0,7.3,
2015-05-27,19.1,13.0,25.0,,0.0,7.5,
2015-05-28,20.8,15.0,26.0,,0.0,7.8,
2015-05-29,22.3,16.0,28.0,,0.0,8.9,
2015-05-30,24.0,19.0,30.0,,0.0,9.8,
2015-05-31,20.5,13.0,25.0,,0.0,8.4,
2015-06-01,15.2,9.0,21.0,,0.0,7.9,
2015-06-02,17.3,10.0,23.0,,0.0,7.6,
2015-06-04,17.3,13.0,23.0,,0.0,8.3,
2015-06-05,19.0,13.0,27.0,,0.0,13.7,
2015-06-06,20.7,16.0,27.0,,0.0,10.9,
2015-06-07,24.5,18.0,30.0,,0.0,11.3,
2015-06-08,28.0,22.0,34.0,,0.0,9.8,
2015-06-09,24.5,20.0,32.0,,0.0,14.1,
2015-06-11,22.7,16.0,29.0,,0.0,7.2,
2015-06-13,27.0,22.0,33.0,,0.0,11.7,
2015-06-14,25.0,19.0,32.0,,0.0,10.8,
2015-06-15,24.0,19.0,29.0,,0.0,12.0,
2015-06-18,24.5,19.0,31.0,,0.0,12.3,
2015-06-19,24.4,18.0,30.0,,0.0,10.2,
2015-06-21,22.2,18.0,28.0,,0.0,11.5,
2015-06-22,22.6,16.0,28.0,,0.0,10.6,
2015-06-23,24.2,18.0,30.0,,0.0,7.2,
2015-06-25,28.3,23.0,35.0,,0.0,10.3,
2015-06-26,29.2,23.0,36.0,,0.0,7.8,
2015-06-27,27.0,22.0,33.0,,0.0,8.4,
2015-06-29,27.4,22.0,33.0,,0.0,7.8,
2015-06-30,30.8,25.0,36.0,,0.0,7.3,
2015-07-01,30.2,27.0,34.0,,0.0,10.9,
2015-07-02,27.2,22.0,33.0,,0.0,12.1,
2015-07-03,25.9,20.0,32.0,,0.0,9.7,
2015-07-04,28.0,24.0,33.0,,0.0,9.6,
2015-07-05,25.5,20.0,31.0,,0.0,10.9,
2015-07-06,23.3,19.0,29.0,,0.0,9.7,
2015-07-07,21.9,17.0,27.0,,0.0,8.3,
2015-07-08,19.3,14.0,25.0,,0.0,8.3,
2015-07-09,15.1,10.0,20.0,,0.0,8.7,
2015-07-10,16.2,12.0,22.0,,0.0,5.2,
2015-07-11,19.8,14.0,26.0,,0.0,8.0,
2015-07-12,19.9,13.0,27.0,,0.0,6.2,
2015-07-13,22.2,15.0,28.0,,0.0,7.5,
2015-07-14,23.0,18.0,28.0,,0.0,8.6,
2015-07-15,24.5,18.0,30.0,,0.0,8.4,
2015-07-16,25.5,21.0,31.0,,0.0,8.755284552845529,
2015-07-17,26.7,21.0,33.0,,0.0,10.8,
2015-07-19,24.0,17.0,29.0,,0.0,6.5,
2015-07-21,25.8,22.0,31.0,,0.0,10.7,
2015-07-22,23.6,18.0,28.0,,0.0,12.8,
2015-07-23,20.6,16.0,27.0,,0.0,9.6,
2015-07-24,22.2,17.0,28.0,,0.0,9.9,
2015-07-25,22.9,17.0,28.0,,0.0,8.9,
2015-07-26,23.3,18.0,29.0,,0.0,10.4,
2015-07-27,24.3,18.0,31.0,,0.0,9.3,
2015-07-28,28.5,23.0,33.0,,0.0,11.2,
2015-07-29,31.0,25.0,37.0,,0.0,10.4,
2015-07-31,28.3,23.0,33.0,,0.0,9.2,
2015-08-01,25.4,21.0,30.0,,0.0,9.5,
2015-08-02,25.8,22.0,32.0,,0.0,9.6,
2015-08-04,18.7,14.0,25.0,,0.0,5.3,
2015-08-05,22.0,13.0,29.0,,0.0,6.5,
2015-08-06,23.2,19.0,27.0,,0.0,5.8,
2015-08-07,23.0,19.0,29.0,,0.0,10.4,
2015-08-08,23.1,18.0,29.0,,0.0,9.4,
2015-08-09,24.6,18.0,31.0,,0.0,10.0,
2015-08-10,23.1,17.0,29.0,,0.0,8.365461847389557,
2015-08-11,22.1,18.0,28.0,,0.0,10.6,
2015-08-13,23.0,18.0,29.0,,0.0,9.2,
2015-08-14,22.0,16.0,29.0,,0.0,8.2,
2015-08-15,26.2,19.0,33.0,,0.0,8.7,
2015-08-16,28.8,22.0,35.0,,0.0,9.2,
2015-08-17,29.8,24.0,37.0,,0.0,9.2,
2015-08-18,28.0,24.0,33.0,,0.0,9.2,
2015-08-19,26.0,20.0,32.0,,0.0,6.5,
2015-08-21,23.8,20.0,29.0,,0.0,9.0,
2015-08-22,24.5,19.0,30.0,,0.0,7.9,
2015-08-24,25.5,20.0,32.0,,0.0,7.2,
2015-08-25,26.5,21.0,33.0,,0.0,9.6,
2015-08-26,26.5,20.0,33.0,,0.0,9.7,
2015-08-27,27.8,22.0,34.0,,0.0,9.8,
2015-08-29,20.5,16.0,26.0,,0.0,9.0,
2015-08-30,20.0,14.0,27.0,,0.0,7.1,
2015-08-31,22.7,17.0,29.0,,0.0,8.9,
2015-09-01,23.5,18.0,29.0,,0.0,8.6,
2015-09-03,18.0,13.0,23.0,,0.0,10.1,
2015-09-04,17.6,13.0,23.0,,0.0,10.5,
2015-09-05,17.9,12.0,23.0,,0.0,8.4,
2015-09-06,21.1,15.0,27.0,,0.0,9.0,
2015-09-07,24.0,18.0,30.0,,0.0,9.5,
2015-09-08,27.1,20.0,33.0,,0.0,9.6,
2015-09-09,29.5,24.0,35.0,,0.0,10.9,
2015-09-10,29.3,25.0,34.0,,0.0,13.5,
2015-09-11,28.6,25.0,34.0,,0.0,12.4,
2015-09-12,27.0,24.0,31.0,,0.0,9.2,
2015-09-13,25.4,20.0,30.0,,0.0,7.7,
2015-09-14,21.4,16.0,27.0,,0.0,12.6,
2015-09-16,12.3,8.0,17.0,,0.0,10.1,
