time,tavg,tmin,tmax,prcp,snow,wspd,pres
2020-03-01,11.1,8.0,15.0,,0.0,,
2020-03-02,12.2,7.0,19.0,,0.0,,
2020-03-03,16.2,8.0,24.0,,0.0,,
2020-03-04,12.7,8.0,21.0,,0.0,,
2020-03-05,15.6,8.0,27.0,,0.0,,
2020-03-06,12.5,7.0,20.0,,0.0,,
2020-03-07,12.8,10.0,17.0,,0.0,,
2020-03-09,14.3,8.0,23.0,,0.0,,
2020-03-10,14.6,12.0,19.0,,0.0,,
2020-03-11,16.1,14.0,21.0,,0.0,,
2020-03-12,12.2,11.0,13.0,,0.0,,
2020-03-13,11.5,10.0,13.0,,0.0,,
2020-03-14,13.0,11.0,16.0,,0.0,,
2020-03-15,12.5,10.0,16.0,,0.0,,
2020-03-16,12.2,10.0,16.0,,0.0,,
2020-03-17,10.7,7.0,15.0,,0.0,,
2020-03-18,8.3,5.0,12.0,,0.0,,
2020-03-19,10.4,7.0,15.0,,0.0,,
2020-03-20,11.6,9.0,15.0,,0.0,,
2020-03-21,12.3,8.0,17.0,,0.0,,
2020-03-22,13.2,8.0,20.0,,0.0,,
2020-03-23,13.1,9.0,17.0,,0.0,,
2020-03-24,12.2,8.0,17.0,,0.0,,
2020-03-25,12.1,10.0,16.0,,0.0,,
2020-03-26,9.7,6.0,14.0,,0.0,,
2020-03-27,9.8,5.0,15.0,,0.0,,
2020-03-28,10.7,6.0,16.0,,0.0,,
2020-03-29,11.5,6.0,17.0,,0.0,,
2020-03-30,13.6,7.0,22.0,,0.0,,
2020-03-31,15.6,11.0,22.0,,0.0,,
2020-04-01,14.3,10.0,20.0,,0.0,,
2020-04-02,14.2,11.0,18.0,,0.0,,
2020-04-03,13.2,10.0,18.0,,0.0,,
2020-04-04,13.3,11.0,18.0,,0.0,,
2020-04-05,12.0,10.0,15.0,,0.0,,
2020-04-06,11.2,10.0,13.0,,0.0,,
2020-04-07,11.6,9.0,15.0,,0.0,,
2020-04-08,10.4,8.0,14.0,,0.0,,
2020-04-11,12.0,7.0,17.0,,0.0,,
2020-04-12,12.2,11.0,14.0,,0.0,,
2020-04-13,13.1,10.0,16.0,,0.0,,
2020-04-15,17.8,12.0,25.0,,0.0,,
2020-04-16,15.3,10.0,22.0,,0.0,,
2020-04-17,12.7,8.0,18.0,,0.0,,
2020-04-18,13.4,11.0,17.0,,0.0,,
2020-04-19,14.3,12.0,18.0,,0.0,,
2020-04-20,14.6,12.0,19.0,,0.0,,
2020-04-21,14.9,12.0,19.0,,0.0,,
2020-04-22,17.8,10.0,25.0,,0.0,,
2020-04-23,20.2,13.0,28.0,,0.0,,
2020-04-24,22.8,17.0,32.0,,0.0,,
2020-04-25,21.7,15.0,30.0,,0.0,,
2020-04-26,21.0,15.0,30.0,,0.0,,
2020-04-27,18.5,13.0,25.0,,0.0,,
2020-04-28,17.5,14.0,25.0,,0.0,,
2020-04-29,16.5,14.0,22.0,,0.0,,
2020-04-30,17.3,15.0,23.0,,0.0,,
2020-05-04,18.4,11.0,25.0,,0.0,,
2020-05-06,23.5,16.0,32.0,,0.0,,
2020-05-08,19.3,15.0,25.0,,0.0,,
2020-05-09,17.3,15.0,23.0,,0.0,,
