tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
3.0,-3.2,6.8,0.0,,,,,,
2.3,-3.1,6.6,0.0,,,,,,
-5.8,-7.1,-2.9,0.0,,,,,,
0.1,-6.4,3.8,0.0,,,,,,
-0.8,-4.1,4.5,0.0,,,,,,
-2.9,-5.2,0.6,0.0,,,,,,
-5.8,-8.1,-1.9,0.0,,,,,,
-7.6,-9.6,-5.7,0.0,,,,,,
-2.2,-6.5,1.5,0.0,,,,,,
-1.1,-3.3,2.5,0.0,,,,,,
-1.9,-4.5,0.6,0.0,,,,,,
-2.1,-6.4,3.5,0.0,,,,,,
1.4,-1.5,4.1,0.0,,,,,,
-3.2,-7.1,1.8,14.8,,,,,,
-7.8,-9.2,-6.6,0.0,,,,,,
-9.2,-11.2,-7.5,0.0,,,,,,
-4.9,-8.1,-0.2,0.0,,,,,,
-6.4,-8.6,-4.8,0.0,,,,,,
-3.2,-4.8,-0.2,0.0,,,,,,
-2.8,-4.8,-0.2,0.0,,,,,,
-2.1,-5.2,2.8,0.0,,,,,,
-1.3,-2.4,1.3,0.0,,,,,,
-4.4,-5.4,-2.2,0.0,,,,,,
-5.9,-8.1,-2.6,0.1,,,,,,
-6.8,-8.0,-5.0,0.0,,,,,,
-1.3,-7.7,2.9,0.0,,,,,,
0.5,-1.2,2.5,0.0,,,,,,
0.5,-1.5,3.8,0.0,,,,,,
-2.3,-5.1,0.6,0.0,,,,,,
-6.5,-8.3,-4.4,0.0,,,,,,
-5.7,-7.9,-3.5,0.0,,,,,,
-7.6,-9.0,-5.5,0.0,,,,,,
-6.3,-8.9,-2.9,0.0,,,,,,
0.3,-5.6,5.6,0.0,,,,,,
-3.0,-6.6,1.6,0.0,,,,,,
-8.2,-9.2,-6.1,0.0,,,,,,
-6.5,-9.6,-1.6,0.0,,,,,,
-0.5,-4.9,1.7,0.1,,,,,,
-6.1,-7.4,-0.5,0.0,,,,,,
-6.6,-8.9,-5.4,0.0,,,,,,
-1.4,-6.2,3.1,0.0,,,,,,
2.4,0.4,5.1,0.0,,,,,,
4.8,0.9,11.2,0.0,,,,,,
2.9,0.6,10.3,0.0,,,,,,
0.7,-2.3,4.2,0.0,,,,,,
-6.1,-8.0,-1.9,0.0,,,,,,
-7.4,-9.0,-5.9,0.0,,,,,,
-7.5,-9.8,-6.3,0.0,,,,,,
-6.8,-8.6,-4.4,0.0,,,,,,
-5.4,-6.4,-3.4,0.0,,,,,,
-5.4,-6.9,3.3,0.0,,,,,,
-3.1,-6.6,0.9,0.0,,,,,,
-0.8,-3.0,2.8,0.0,,,,,,
0.8,-2.9,5.8,0.0,,,,,,
0.5,-2.8,5.7,0.0,,,,,,
2.4,-0.6,7.9,0.0,,,,,,
0.2,-2.5,3.7,0.0,,,,,,
-2.6,-5.1,1.3,0.0,,,,,,
2.3,-2.0,6.1,0.0,,,,,,
3.0,1.7,5.4,0.0,,,,,,
1.2,-2.1,5.3,0.0,,,,,,
1.0,-1.4,4.2,0.0,,,,,,
5.1,-1.1,10.6,0.0,,,,,,
3.1,1.2,8.6,0.0,,,,,,
2.6,0.4,5.2,0.0,,,,,,
4.4,2.2,7.4,0.0,,,,,,
3.6,1.7,5.6,0.0,,,,,,
1.8,0.3,3.3,0.0,,,,,,
0.4,-1.5,3.1,0.0,,,,,,
4.4,0.1,10.1,0.0,,,,,,
-0.8,-1.9,2.6,0.0,,,,,,
0.9,-2.7,3.3,0.0,,,,,,
6.0,1.4,11.8,0.0,,,,,,
5.7,2.5,9.1,0.0,,,,,,
4.6,1.9,9.0,0.0,,,,,,
4.3,3.7,6.2,0.7,,,,,,
-0.2,-2.4,5.1,0.0,,,,,,
1.6,-0.2,3.6,0.0,,,,,,
2.2,-0.8,5.9,0.0,,,,,,
3.8,1.9,7.0,0.0,,,,,,
1.4,-0.2,3.2,2.9,,,,,,
1.4,-0.4,5.1,0.0,,,,,,
1.4,-0.8,6.4,0.0,,,,,,
3.2,0.2,7.1,0.0,,,,,,
6.8,1.8,10.8,0.0,,,,,,
5.3,-1.0,12.3,0.0,,,,,,
5.9,2.6,9.6,0.0,,,,,,
5.6,3.4,9.3,0.0,,,,,,
4.5,2.3,9.8,3.2,,,,,,
5.2,2.4,8.8,5.3,,,,,,
4.3,3.1,6.7,0.0,,,,,,
3.1,2.2,4.6,0.0,,,,,,
2.9,1.4,5.2,0.0,,,,,,
4.0,1.1,6.4,0.0,,,,,,
7.5,1.9,13.9,0.0,,,,,,
10.7,4.9,14.6,0.0,,,,,,
7.7,5.6,11.8,0.6,,,,,,
7.7,1.9,12.9,0.0,,,,,,
10.9,7.0,16.8,0.0,,,,,,
8.6,5.6,11.1,0.0,,,,,,
6.1,3.2,9.2,0.0,,,,,,
7.5,2.8,10.9,0.0,,,,,,
7.3,3.9,11.3,0.0,,,,,,
9.5,5.9,12.7,0.0,,,,,,
10.4,8.0,14.8,0.0,,,,,,
9.4,8.2,10.7,0.0,,,,,,
